Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Botswana,BWA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,28.43663632,18.32805369,13.74437983,6.474686209,8.36132132,3.64872259,23.02869751,35.00778163,7.826910906,8.806901305,9.43073732,17.73909777,15.18659394,-3.479301671,-0.260387078,3.508404922,-4.598818915,-0.897205619,6.845266058,10.88522685,13.47033709,12.94134629,-18.19355333,27.64853844,0.803306244,-4.344324331,7.345978582,-6.999482872,7.389013184,18.19076787,3.132851187,8.481353688,-2.479829693,-37.67059832,16.02382391,27.54594654,17.84065593,37.80249435,3.738438645,-7.360134472,-8.36839597,-5.457451192,11.88245591,-7.090920194,-18.08426731
Central African Republic,CAF,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.55536172,45.40797903,6.750181654,-24.82078544,13.71619802,9.989669682,-8.229295044,22.93529432,14.67463695,-2.151581924,-58.00868653
Canada,CAN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,4.63532505,8.807474357,13.58031841,4.503677942,13.13034427,10.7327097,12.29431623,7.988767378,9.173114667,4.86673984,8.636805847,10.08827786,-4.511954455,-8.296228361,7.768654328,6.41522597,9.966534348,3.771514779,1.069394886,1.712293745,-1.37978034,5.783690754,18.62119301,4.48386915,4.499252403,3.193154465,9.106513445,0.858684534,4.545704982,1.622197637,7.434215642,10.79524571,12.81551131,8.866249219,5.723424992,8.596191652,9.516988577,10.82856799,9.025706322,-2.900456759,1.2291925,-1.709201339,5.530652629,2.271950052,0.881307868,1.137638027,-4.543929961,-12.96518163,6.677633228,4.827662711,2.814689117,2.460773337,6.322765941,3.419000458,1.406664353,1.4450715,3.683417516,1.28272883,-10.04783207
Central Europe and the Baltics,CEB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.538207075,12.35409553,6.231393717,0.843544599,12.60240492,7.602753272,6.07413738,10.34993132,14.75770206,12.77027856,15.06562239,12.52415715,5.714289647,-10.22342506,13.56379166,9.11464388,3.580790696,5.4310762,6.650918515,6.419512905,7.228680531,7.776870914,5.306956237,4.262551916,-5.217542362
Switzerland,CHE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,3.887580498,6.366433336,7.858666394,1.030782105,-6.568833376,9.304413491,9.716710373,3.717101002,2.465423587,5.070422338,15.15612327,-2.006574803,-2.78555231,15.73279708,8.005076549,1.514965414,-2.310373013,7.631431947,5.82599917,2.017808025,-1.613591425,3.875674583,-0.647585609,1.406204585,2.857271032,3.010460443,14.80741646,2.570553616,3.29930802,12.14652911,0.108281623,-1.755732477,-1.186650052,9.873819156,6.526030438,6.451308004,11.30587154,4.218649645,-8.713528461,12.58691425,3.96782521,0.978318809,13.8029868,-6.214702569,4.132599797,6.511148674,-0.333536899,3.332703825,-0.781963492,-6.004371698
Channel Islands,CHI,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,4.944576185,2.609283584,5.26926592,9.228659756,-0.844559145,4.010021609,3.27059192,2.031684931,3.565401186,2.073149762,0.816095208,-15.09522309,2.797857497,45.9187833,2.353407497,24.3411992,11.89344174,11.18188005,14.16430949,14.3198087,-8.910723439,4.697527111,0.029391584,2.26226317,12.32067148,10.09383317,6.74026828,11.55570207,16.11099337,8.617182881,12.43338564,13.92681611,3.534209216,11.62760173,10.9836199,11.78496976,11.24037408,5.275635531,6.671403804,5.296469883,6.942249812,2.407432547,6.558827368,14.39115329,2.784274464,5.087400904,7.190722264,-0.629617192,-4.237934853,2.260471461,5.456142046,0.354324939,3.266718946,0.323747644,-1.708395253,0.503419297,-1.517593626,5.266519078,-2.607730962,-1.018252708
China,CHN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.588525346,3.308716927,6.823129646,-7.000359204,-6.329380611,3.543013783,-13.05726817,12.35106044,5.62160348,5.722225568,-8.423449932,-5.625793571,18.82426997,-9.054527752,0.326099922,10.46495452,-12.83794442,5.748372812,1.662840062,-6.805620993,10.00496285,-0.084213303,17.83061191,-6.796746888
Cameroon,CMR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,-4.260246527,-2.912625097,-11.5833437,6.880339573,3.755119034,-0.338989516,0.540000881,4.329350932,10.98430917,8.944483607,-1.750099684,5.000287627,2.60910989,13.66825804,-10.2910944,16.08515471,-11.92272492,31.76937208,18.57375815,30.68180792,27.39871651,-15.79730486,19.58116281,44.27405909,8.912332267,-13.85123805,-12.03299937,4.599756588,23.17223971,-9.826537661,-4.100002657,5.300000714,-18.73410618,10.88915396,15.40294851,17.14673468,6.739019599,-7.076067036,-3.817582077,9.841394395,6.309494483,-0.263272447,-11.8131643,8.94036886,-6.179781588,9.655355911,14.29280011,-3.2304097,-11.99150722,13.18433338,5.095440139,1.225942664,3.255863515,11.23918545,4.768816995,2.756806186,-1.570903989,2.129363229,11.2229548,-15.16116126
"Congo, Dem. Rep.",COD,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,-9.75525758,-9.834185664,-14.52345423,19.08291665,-12.74013069,1.254661085,-4.992934014,44.03130133,0.520781777,13.29416304,11.44778919,6.702458034,9.442362699,-7.739915466,-6.241436533,-6.271371571,-0.295980271,25.08611439,-16.23911094,21.55223444,-13.47426494,-10.21288844,36.44956174,68.37717126,6.786745939,-5.974686604,7.964886724,1.832806812,-5.970148434,-0.980387899,-17.11456704,-41.75199403,-8.886720852,-7.502672626,20.39999619,15.39999654,-22.11221321,24.15254574,49.48806001,-3.626106619,-19.49458484,82.47384155,14.74503379,2.739603784,12.99835838,-9.366854271,26.73,4.684999999,-28.28055238,38.75190771,25.01772597,11.41898609,10.52661785,21.38688213,4.097902381,-0.875603936,7.344238952,14.24457963,1.442734799,7.996419419
"Congo, Rep.",COG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,7.500001088,73.64341166,19.19642832,9.737827851,0.682595138,-9.623532502,10.18538992,28.99148702,28.99016283,29.54549711,3.508658278,3.578176124,3.4545503,3.514912411,0.169764346,3.050940203,10.85508338,9.643859492,4.465383401,21.76182509,9.255447425,9.139499365,17.26235742,9.792477322,-6.497342017,-3.474415646,0.392670131,13.03780967,7.670129968,7,-5.99143755,0.710524764,7.955153652,-2.638391558,15.41619615,4.155392041,11.91827409,8.969203878,2.202086942,-1.210697657,-5.677850311,1.277480822,-2.50565561,-2.180697398,9.915286976,4.052998616,-17.03207511,4.478556014,15.96344001,2.820073664,5.857567526,-8.423954424,-6.878883731,6.671173697,-4.533391502,4.87286876,14.43108498,11.36371119,7.374732204,-9.190069578
Colombia,COL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,-6.667605314,8.100064223,-2.414264656,5.823001105,6.410399731,-0.732978608,5.543400974,8.897986682,15.91833821,-5.507317774,4.568362515,11.88482872,7.555052174,-3.342137518,14.44160669,-3.189912137,-4.499218158,25.16964316,8.352999879,5.106600122,-11.8330373,-1.557946197,-0.892260256,10.30519114,14.35185763,20.70523524,7.788356344,0.250807365,8.404873069,17.59352882,11.95906874,5.585878187,6.21984331,0.042863938,3.560838214,9.603018029,3.151398102,7.375476343,5.923905694,6.146448188,2.810876871,-2.377414562,7.360295716,9.808607595,9.170826814,9.518297872,6.219887476,2.036755238,-5.206301862,2.062365114,12.25754177,4.47327653,4.676889376,-0.288954532,1.658029415,-0.208836234,2.569366531,0.642348451,3.070993602,-18.312344
Comoros,COM,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,3.864923662,6.383621096,4.82102948,4.11026127,2.280373832,1.867213323,1.637988862,2.687520145,-3.180676791,5.091391874,-5.395598927,8.530923182,3.005937808,-5.276682172,3.610129711,-1.291668596,4.030334351,1.282668772,1.924123459,10.84808133,2.332927991,2.324785314,2.104103557,1.919601747,2.837400476,2.646903785,-0.808854344,-1,18.90000016,14.69999992,3.999999815,-1.599999916,10.8000001,6.999999941,4.599368915,8.669316335,11.7931107,19.2378632,9.045831445,-31.43862571
