Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bhutan,BTN,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,69.9820821,7.539683415,27.95076935,2.205250419,-5.905130352,26.90973589,89.21741457,-0.801522922,9.794237999,-1.266220832,-2.591491839,15.03271854,1.322179303,7.036072018,15.96105745,3.583545192,-0.842265808,4.691576272,15.07647558,7.256609992,12.76485288,16.7617859,9.63713524,2.038478371,3.777132106,8.841195703,40.72891181,6.216629087,3.45398961,12.4842065,4.058632424,6.767855151,3.90191516,3.712273902,8.215780756,6.936500311,2.547213928,-4.983136051,2.006335719,-13.09877186
Botswana,BWA,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,-2.162180809,3.314946347,-7.486605082,50.07426319,65.97951415,-4.475376001,5.779612226,-8.30046965,114.0366122,70.51056169,23.71400478,26.37574244,21.24154952,8.995482359,20.46766777,13.11761634,22.4121165,20.84204447,10.73827524,21.3371109,17.582265,22.37700351,22.4936758,8.33361901,3.501096018,7.127100584,8.687192263,16.35903776,10.59485627,3.878604593,4.612399847,-1.820789565,-0.836820512,2.55277731,7.134799051,-0.658725268,6.573717177,-1.525246532,6.671219355,6.80542928,0.405981937,12.75227379,1.835751501,-1.148032938,5.637008469,7.799628433,2.008773085,0.086959539,-27.02996274,13.12918754,1.458425006,0.301390272,15.86539752,-0.23324667,-10.7645482,3.787902494,5.053139368,5.521833341,-1.548922282,-20.64575391
Central African Republic,CAF,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.741202549,12.66609516,7.24998248,-45.79391269,-14.91785493,12.28304541,2.863503623,1.738444688,1.522707111,3,8.68123536
Canada,CAN,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.869596629,5.988191409,6.340004777,-0.705945013,2.955723263,0.912239756,3.301222314,2.967270225,1.085766712,0.501331759,-1.500562883,-9.852379586,6.668094149,4.548098861,2.334529134,2.582726607,4.297635526,-1.104302391,-1.422952385,3.731399883,3.217504946,-0.176125519,-6.985752472
Central Europe and the Baltics,CEB,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.979091752,0.944112116,1.472640677,0.74305876,3.089058777,3.073937038,3.462563566,5.320862341,7.457152495,5.861437034,10.30241346,7.300317629,5.729061715,-6.329934663,3.688534808,4.603410712,-2.401521422,-0.682377764,5.179566148,4.787843351,2.116077465,4.16057486,4.283815418,2.338459563,-6.177002197
Switzerland,CHE,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.252948739,-0.468613002,-0.385777162,3.18091007,-0.506244342,-1.973877621,0.142008359,1.381880975,0.538181727,1.108524598,3.835038667,1.218081437,-0.37412076,0.284741024,4.416468787,4.502128906,3.469874723,2.642452374,-8.715367514,6.289066926,6.423393133,-1.154445754,2.166180384,0.733626982,-0.195214555,2.254301594,4.147875196,5.429235615,2.663924445,-2.799786169
Channel Islands,CHI,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,4.867407924,12.37643131,7.5933061,1.401128237,0.055313265,7.647083838,2.684311886,4.062593173,3.796778099,1.901963403,9.916900412,-2.169488831,-7.116795735,5.663893336,-21.81209999,3.941418784,5.871325964,7.262456937,9.111380254,8.191019643,6.283486469,-14.68419961,-0.765201358,7.058157801,4.753114177,5.790019381,4.224003176,8.270365239,8.716840298,1.667550948,7.364553383,9.248728776,7.636800283,4.480971039,8.365895775,6.638805311,7.588992951,4.222762473,1.089198931,4.280403451,1.711943615,0.226697475,1.893210484,3.80898323,1.457166577,3.976342775,0.494613947,1.516526944,-2.775275018,3.056834207,2.865722843,4.792221643,4.314495051,0.482201171,0.916182404,-0.245197491,-0.525642251,3.880428752,-0.19993638,-3.664864749
China,CHN,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,-41.90000001,-10.59999997,14.49999999,25.50000002,24.00000002,22.19999999,-14.3,-9.200000027,33.00000004,34.59999998,12.4,6.700000016,8.300000003,1.400000002,15.69999998,-2.399999996,13.20000001,15.2960144,8.22470013,13.48960714,1.883293893,5.575464624,10.38389387,14.42346389,18.40017715,10.21821277,13.59537087,14.33917171,3.74883613,3.174669461,13.78537046,21.03404567,19.74461989,18.14166359,13.82515974,12.09219828,10.47803069,8.903053633,8.203147969,9.473841434,8.491270534,9.894748775,12.66723649,11.14592233,12.12839131,13.45069554,15.05071426,9.838989907,10.29280498,12.6835957,10.6886752,8.363640405,7.987214292,7.155565422,5.926763763,6.03148306,5.868289508,5.792406827,4.874543817,2.582704585
Cote d'Ivoire,CIV,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.885672865,-4.003464738,-7.649659258,-1.430141837,28.83545941,4.502016543,8.295765745,5.325894948,15.41643965,10.65254386,10.41036818,1.887581058
